# world_region_cell_profiles_source/v1
# source=ТАБЛИЦА_РЕГИОНАЛЬНЫХ_ПРОФИЛЕЙ_КЛЕТОК(1).xlsx
# name|macroregion|continent|profile|target_km2|min|max|historical_density|geographic_complexity|scope
Фландрия|Низкие земли|Европа|P1|650|1|10|2|1.1|world
Голландия и Зеландия|Низкие земли|Европа|P1|700|1|10|1.9|1.25|world
Брабант|Низкие земли|Европа|P1|800|1|10|1.85|1.1|world
Валлония|Низкие земли|Европа|P2|1400|1|12|1.35|1.15|world
Люксембург|Низкие земли|Европа|P2|1200|1|8|1.3|1.15|world
Большой Лондон|Британские острова|Европа|P0|450|4|7|2.5|1.05|world
Юго-Восточная Англия|Британские острова|Европа|P2|1300|1|12|1.6|1.05|world
Юго-Западная Англия|Британские острова|Европа|P3|1800|1|12|1.25|1.2|world
Мидлендс|Британские острова|Европа|P3|1700|1|12|1.4|1.05|world
Северная Англия|Британские острова|Европа|P3|2200|1|12|1.1|1.15|world
Уэльс|Британские острова|Европа|P3|2500|1|10|0.9|1.25|world
Шотландская низменность|Британские острова|Европа|P3|2400|1|12|1.1|1.1|world
Шотландское нагорье|Британские острова|Европа|P5|6500|1|10|0.45|1.3|world
Восточная Ирландия|Британские острова|Европа|P3|2200|1|12|1.1|1.05|world
Западная Ирландия|Британские острова|Европа|P4|3200|1|10|0.75|1.2|world
Иль-де-Франс|Франция|Европа|P1|850|2|10|2|1.05|world
Нормандия|Франция|Европа|P3|1800|1|12|1.35|1.1|world
Бретань|Франция|Европа|P3|1700|1|12|1.25|1.25|world
Долина Луары|Франция|Европа|P3|2200|1|14|1.2|1.05|world
Пикардия и Артуа|Франция|Европа|P2|1500|1|12|1.45|1.05|world
Шампань|Франция|Европа|P3|1900|1|12|1.35|1.05|world
Бургундия|Франция|Европа|P3|2100|1|14|1.25|1.1|world
Эльзас и Лотарингия|Франция|Европа|P2|1500|1|12|1.45|1.15|world
Аквитания и Гасконь|Франция|Европа|P4|2700|1|14|1|1.1|world
