# Черновые географические центры для мирового слоя регионов v1
# Формат: название региона|долгота|широта
# Иберия сюда не входит: там используется уже утверждённая явная привязка провинция -> регион.
Фландрия|4.5|51.0
Голландия и Зеландия|4.3|52.2
Брабант|5.1|51.5
Валлония|5.2|50.4
Люксембург|6.13|49.8
Большой Лондон|-0.1|51.5
Юго-Восточная Англия|0.5|51.2
Юго-Западная Англия|-3.5|50.8
Мидлендс|-1.5|52.6
Северная Англия|-2.0|54.5
Уэльс|-3.6|52.3
Шотландская низменность|-3.5|55.9
Шотландское нагорье|-4.8|57.3
Восточная Ирландия|-6.7|53.4
Западная Ирландия|-9.0|53.2
Иль-де-Франс|2.35|48.85
Нормандия|0.2|49.1
Бретань|-3.0|48.2
Долина Луары|0.6|47.3
Пикардия и Артуа|2.4|50.2
Шампань|4.4|49.1
Бургундия|4.7|47.0
Эльзас и Лотарингия|6.6|48.5
Аквитания и Гасконь|-0.5|44.5
Лангедок|3.0|43.6
Прованс|5.8|43.8
Савойя и Дофине|6.1|45.4
Ломбардия|9.5|45.5
Пьемонт|7.7|45.0
Лигурия|8.8|44.4
Венето и Фриули|12.2|45.8
Эмилия-Романья|11.0|44.6
Тоскана|11.0|43.5
Папская область|12.5|42.3
Абруцци и Марке|13.5|42.7
Кампания|14.6|40.9
Апулия и Базиликата|16.3|41.0
Калабрия|16.2|38.8
Сицилия|14.0|37.5
Сардиния и Корсика|9.0|41.2
Рейнская область|7.0|50.5
Вестфалия|8.0|51.6
Гессен|9.0|50.6
Бавария и Франкония|11.2|49.2
Швабия|9.6|48.4
Саксония и Тюрингия|12.3|51.0
Бранденбург|13.3|52.3
Померания и Мекленбург|12.5|53.7
Богемия|14.5|49.9
Моравия и Силезия|17.3|49.7
Австрийские земли|14.0|47.6
Швейцария|8.2|46.8
Венгерская низменность|19.3|47.0
Трансильвания|24.7|46.5
Дания|10.0|56.0
Южная Швеция|14.0|56.5
Центральная Швеция|15.0|60.0
Северная Скандинавия|18.0|67.5
Южная Норвегия|8.5|60.0
Северная Норвегия|18.0|68.8
Южная Финляндия|25.0|61.0
Северная Финляндия|26.0|66.0
Западная Польша|16.5|52.0
Малая Польша|20.0|50.0
Мазовия и Подляшье|22.0|52.5
Литва|24.0|55.0
Ливония и Эстония|25.0|57.5
Беларусь|28.0|53.5
Правобережная Украина|27.0|49.0
Левобережная Украина|34.0|49.5
Причерноморская степь|32.0|46.5
Молдавия|28.5|47.0
Словения и Хорватское ядро|15.5|45.8
Далматинское побережье|16.2|43.8
Босния и Герцеговина|17.8|44.2
Сербия и Шумадия|20.8|44.0
Болгария|25.2|42.7
Валахия и Добруджа|27.0|44.8
Македония и Фракия|23.0|41.5
Материковая Греция|22.2|39.2
Греческие острова|25.5|37.5
Центральная Россия|37.0|55.0
Северо-Западная Россия|31.0|58.0
Поволжье|48.0|54.5
Южная Россия и Предкавказье|42.0|46.5
Урал|58.0|56.0
Русский Север|40.0|64.0
Западная Анатолия|28.0|39.0
Центральная Анатолия|34.0|39.5
Восточная Анатолия|42.0|39.0
Армянское нагорье|44.5|40.0
Грузия и Закавказье|45.5|42.0
Северный Кавказ|44.0|43.5
Левантийское побережье|35.4|33.0
Внутренний Левант|37.0|33.0
Верхняя Месопотамия|41.5|35.5
Нижняя Месопотамия|45.0|32.0
Хиджаз|39.5|23.0
Йеменское нагорье|44.2|15.5
Оманское побережье|57.5|22.0
Персидский залив — побережье|50.0|25.5
Внутренняя Аравия|45.0|23.0
Фарс и Хузестан|51.0|30.5
Центральное Иранское плато|54.0|33.0
Хорасан|59.0|35.0
Каспийское побережье|51.0|36.7
Хорезм и нижняя Амударья|59.0|42.0
Ферганская долина|71.0|40.5
Мавераннахр|67.0|39.5
Казахская степь|67.0|49.0
Туркменские пустыни|59.0|38.0
Тянь-Шань|76.0|42.0
Памир|72.5|38.0
Южная Сибирь|86.0|54.0
Западносибирская тайга|72.0|61.0
Центральная сибирская тайга|98.0|61.0
Якутия|127.0|64.0
Арктическая Сибирь|110.0|72.0
Прибайкалье|106.0|53.0
Забайкалье|116.0|52.0
Амур и Приморье|133.0|48.0
Камчатка и Чукотка|166.0|61.0
Северокитайская равнина|116.0|36.0
Шаньдун|119.0|36.0
Дельта Янцзы|120.5|31.2
Средняя Янцзы|113.0|29.5
Сычуаньская котловина|104.5|30.5
Южнокитайское побережье|113.0|23.0
Юньнань и Гуйчжоу|103.0|25.5
Лёссовое плато|110.0|36.0
Маньчжурия|125.0|45.0
Внутренняя Монголия|111.0|42.0
Синьцзянские оазисы|84.0|42.0
Такла-Макан и Джунгария|88.0|40.0
Тибет|88.0|31.0
Монголия|103.0|47.0
Корейский север|127.0|40.0
Корейский юг|127.5|36.0
Канто|139.5|36.0
Кансай|135.2|34.7
Центральный Хонсю|137.5|36.0
Северный Хонсю|140.5|39.0
Кюсю и Сикоку|132.5|33.5
Хоккайдо|142.5|43.5
Пенджаб|75.0|31.0
Верхняя Гангская равнина|78.5|28.0
Средняя Гангская равнина|83.0|26.0
Бенгальская дельта|89.0|23.0
Раджастхан|73.5|27.0
Гуджарат|72.0|22.5
Декан|77.0|17.5
Малабарское побережье|75.5|11.5
Тамильское побережье|79.5|11.5
Центральная Индия|78.0|22.5
Ассам и Брахмапутра|92.5|26.0
Гималаи|80.5|31.0
Долина Инда|69.0|29.0
Белуджистан|65.5|29.0
Кабул и Гиндукуш|69.0|34.5
Иравади|96.0|20.0
