province_id,legacy_id,numeric_id,name,region_id,macroregion_id,area_km2,profile_id,target_cell_area_km2,expected_cell_count_base,override_minimum_cell_count,override_forced_cell_count,override_reason,final_cell_count_base,status
province:2659,russia__sakha_yakutia,2659,Sakha (Yakutia),,,3032557.39,,,,,,,,UNASSIGNED_REGION
province:1806,australia__western_australia,1806,Western Australia,,,2526488.985,,,,,,,,UNASSIGNED_REGION
province:2766,russia__krasnoyarsk,2766,Krasnoyarsk,,,2403514.384,,,,,,,,UNASSIGNED_REGION
province:1241,brazil__amazonas,1241,Amazonas,,,1944326.621,,,,,,,,UNASSIGNED_REGION
province:1841,australia__queensland_4,1841,Queensland,,,1728148.848,,,,,,,,UNASSIGNED_REGION
province:21,china__xinjiang,21,Xinjiang,,,1630013.133,,,,,,,,UNASSIGNED_REGION
province:3848,libya__wadi_al_hayaa,3848,Wadi al Hayaa,,,1619044.782,,,,,,,,UNASSIGNED_REGION
province:1650,united_states_of_america__alaska_24,1650,Alaska,,,1427678.665,,,,,,,,UNASSIGNED_REGION
province:1154,canada__qu_bec_11,1154,Québec,,,1411133.101,,,,,,,,UNASSIGNED_REGION
province:1811,australia__northern_territory,1811,Northern Territory,,,1341141.351,,,,,,,,UNASSIGNED_REGION
province:257,brazil__par,257,Pará,,,1318586.366,,,,,,,,UNASSIGNED_REGION
province:107,china__inner_mongol,107,Inner Mongol,,,1144565.631,,,,,,,,UNASSIGNED_REGION
province:22,china__xizang,22,Xizang,,,1129808.184,,,,,,,,UNASSIGNED_REGION
province:2645,canada__northwest_territories,2645,Northwest Territories,,,1103492.926,,,,,,,,UNASSIGNED_REGION
province:1139,canada__ontario,1139,Ontario,,,1077150.937,,,,,,,,UNASSIGNED_REGION
province:1836,australia__south_australia,1836,South Australia,,,968323.136,,,,,,,,UNASSIGNED_REGION
province:1099,canada__british_columbia_22,1099,British Columbia,,,912270.561,,,,,,,,UNASSIGNED_REGION
province:1261,brazil__mato_grosso,1261,Mato Grosso,,,902664.984,,,,,,,,UNASSIGNED_REGION
province:2396,canada__nunavut_2,2396,Nunavut,,,874480.046,,,,,,,,UNASSIGNED_REGION
province:793,russia__khabarovsk,793,Khabarovsk,,,820531.828,,,,,,,,UNASSIGNED_REGION
province:1846,australia__new_south_wales,1846,New South Wales,,,801087.44,,,,,,,,UNASSIGNED_REGION
province:3784,russia__irkutsk,3784,Irkutsk,,,773401.187,,,,,,,,UNASSIGNED_REGION
province:3584,china__qinghai,3584,Qinghai,,,714316.709,,,,,,,,UNASSIGNED_REGION
province:1191,united_states_of_america__texas_7,1191,Texas,,,684826.225,,,,,,,,UNASSIGNED_REGION
province:2635,russia__yamal_nenets_2,2635,Yamal-Nenets,,,681488.342,,,,,,,,UNASSIGNED_REGION
province:3601,brazil__minas_gerais,3601,Minas Gerais,,,675822.703,,,,,,,,UNASSIGNED_REGION
province:1134,canada__alberta,1134,Alberta,,,667295.512,,,,,,,,UNASSIGNED_REGION
province:1137,canada__manitoba,1137,Manitoba,,,651408.842,,,,,,,,UNASSIGNED_REGION
province:1135,canada__saskatchewan,1135,Saskatchewan,,,649927.801,,,,,,,,UNASSIGNED_REGION
province:1455,niger__agadez,1455,Agadez,,,623351.508,,,,,,,,UNASSIGNED_REGION
province:1456,algeria__tamanghasset,1456,Tamanghasset,,,608311.509,,,,,,,,UNASSIGNED_REGION
province:2626,russia__chukchi_autonomous_okrug_5,2626,Chukchi Autonomous Okrug,,,596312.838,,,,,,,,UNASSIGNED_REGION
province:1793,brazil__bahia_2,1793,Bahia,,,581159.082,,,,,,,,UNASSIGNED_REGION
province:3580,china__sichuan,3580,Sichuan,,,567227.848,,,,,,,,UNASSIGNED_REGION
province:468,saudi_arabia__ash_sharqiyah,468,Ash Sharqiyah,,,553349.883,,,,,,,,UNASSIGNED_REGION
province:3776,russia__khanty_mansiy,3776,Khanty-Mansiy,,,533496.494,,,,,,,,UNASSIGNED_REGION
province:2898,greenland__kommuneqarfik_sermersooq_18,2898,Kommuneqarfik Sermersooq,,,524299.6,,,,,,,,UNASSIGNED_REGION
province:2419,canada__nunavut_25,2419,Nunavut,,,514262.762,,,,,,,,UNASSIGNED_REGION
province:559,mali__timbuktu,559,Timbuktu,,,505013.333,,,,,,,,UNASSIGNED_REGION
province:355,democratic_republic_of_the_congo__orientale,355,Orientale,,,500336.697,,,,,,,,UNASSIGNED_REGION
province:364,democratic_republic_of_the_congo__katanga,364,Katanga,,,486562.964,,,,,,,,UNASSIGNED_REGION
province:1487,egypt__al_wadi_at_jadid,1487,Al Wadi at Jadid,,,474813.171,,,,,,,,UNASSIGNED_REGION
province:560,algeria__adrar,560,Adrar,,,473393.116,,,,,,,,UNASSIGNED_REGION
province:1699,canada__yukon,1699,Yukon,,,470334.501,,,,,,,,UNASSIGNED_REGION
province:2557,russia__maga_buryatdan,2557,Maga Buryatdan,,,463937.188,,,,,,,,UNASSIGNED_REGION
province:3119,russia__kamchatka_3,3119,Kamchatka,,,460371.381,,,,,,,,UNASSIGNED_REGION
province:113,china__gansu,113,Gansu,,,457646.19,,,,,,,,UNASSIGNED_REGION
province:791,china__heilongjiang,791,Heilongjiang,,,452299.359,,,,,,,,UNASSIGNED_REGION
province:788,russia__chita,788,Chita,,,432385.848,,,,,,,,UNASSIGNED_REGION
province:3850,kazakhstan__qaraghandy,3850,Qaraghandy,,,429294.024,,,,,,,,UNASSIGNED_REGION
province:3803,russia__komi,3803,Komi,,,418015.025,,,,,,,,UNASSIGNED_REGION
province:1182,united_states_of_america__california_2,1182,California,,,409746.576,,,,,,,,UNASSIGNED_REGION
province:64,democratic_republic_of_the_congo__quateur,64,Équateur,,,404509.234,,,,,,,,UNASSIGNED_REGION
province:2906,greenland__nationalparken_4,2906,Nationalparken,,,390611.376,,,,,,,,UNASSIGNED_REGION
province:1133,united_states_of_america__montana,1133,Montana,,,387567.058,,,,,,,,UNASSIGNED_REGION
province:240,china__yunnan,240,Yunnan,,,385369.756,,,,,,,,UNASSIGNED_REGION
province:3391,saudi_arabia__ar_riyad,3391,Ar Riyad,,,376672.786,,,,,,,,UNASSIGNED_REGION
province:1245,peru__loreto,1245,Loreto,,,373636.54,,,,,,,,UNASSIGNED_REGION
province:84,south_africa__northern_cape,84,Northern Cape,,,372534.712,,,,,,,,UNASSIGNED_REGION
province:1460,sudan__northern,1460,Northern,,,364156.052,,,,,,,,UNASSIGNED_REGION
province:654,bolivia__santa_cruz,654,Santa Cruz,,,361903.902,,,,,,,,UNASSIGNED_REGION
province:792,russia__amur,792,Amur,,,360835.256,,,,,,,,UNASSIGNED_REGION
province:655,brazil__mato_grosso_do_sul,655,Mato Grosso do Sul,,,356031.015,,,,,,,,UNASSIGNED_REGION
province:782,russia__buryat,782,Buryat,,,352987.658,,,,,,,,UNASSIGNED_REGION
province:949,ethiopia__oromiya,949,Oromiya,,,352533.921,,,,,,,,UNASSIGNED_REGION
province:1405,pakistan__baluchistan,1405,Baluchistan,,,348158.618,,,,,,,,UNASSIGNED_REGION
province:3600,brazil__goi_s,3600,Goiás,,,346982.537,,,,,,,,UNASSIGNED_REGION
province:1623,india__rajasthan,1623,Rajasthan,,,342956.407,,,,,,,,UNASSIGNED_REGION
province:2920,greenland__qaasuitsup_kommunia_8,2920,Qaasuitsup Kommunia,,,328363.158,,,,,,,,UNASSIGNED_REGION
province:1782,brazil__maranh_o,1782,Maranhão,,,325034.191,,,,,,,,UNASSIGNED_REGION
province:1183,united_states_of_america__new_mexico,1183,New Mexico,,,316255.47,,,,,,,,UNASSIGNED_REGION
province:3779,russia__tomsk,3779,Tomsk,,,314728.148,,,,,,,,UNASSIGNED_REGION
province:30,ethiopia__somali,30,Somali,,,311512.221,,,,,,,,UNASSIGNED_REGION
province:3317,india__madhya_pradesh,3317,Madhya Pradesh,,,309399.907,,,,,,,,UNASSIGNED_REGION
province:2759,russia__arkhangel_sk,2759,Arkhangel'sk,,,307097.007,,,,,,,,UNASSIGNED_REGION
province:2558,india__maharashtra,2558,Maharashtra,,,306605.514,,,,,,,,UNASSIGNED_REGION
province:1781,argentina__buenos_aires,1781,Buenos Aires,,,305689.434,,,,,,,,UNASSIGNED_REGION
province:1388,kazakhstan__aqt_be,1388,Aqtöbe,,,301728.19,,,,,,,,UNASSIGNED_REGION
province:67,democratic_republic_of_the_congo__bandundu,67,Bandundu,,,295852.152,,,,,,,,UNASSIGNED_REGION
province:1172,united_states_of_america__arizona,1172,Arizona,,,295440.421,,,,,,,,UNASSIGNED_REGION
province:1373,indonesia__papua_4,1373,Papua,,,294761.636,,,,,,,,UNASSIGNED_REGION
province:1482,sudan__north_darfur,1482,North Darfur,,,291778.326,,,,,,,,UNASSIGNED_REGION
province:2468,canada__newfoundland_and_labrador,2468,Newfoundland and Labrador,,,288763.01,,,,,,,,UNASSIGNED_REGION
province:3320,united_states_of_america__nevada,3320,Nevada,,,286968.258,,,,,,,,UNASSIGNED_REGION
province:95,kazakhstan__east_kazakhstan,95,East Kazakhstan,,,279846.956,,,,,,,,UNASSIGNED_REGION
province:3602,brazil__tocantins,3602,Tocantins,,,278932.996,,,,,,,,UNASSIGNED_REGION
province:104,brazil__rio_grande_do_sul,104,Rio Grande do Sul,,,272400.221,,,,,,,,UNASSIGNED_REGION
province:3321,united_states_of_america__colorado,3321,Colorado,,,269169.571,,,,,,,,UNASSIGNED_REGION
province:1457,mauritania__tiris_zemmour,1457,Tiris Zemmour,,,258672.553,,,,,,,,UNASSIGNED_REGION
province:3319,united_states_of_america__wyoming,3319,Wyoming,,,253290.585,,,,,,,,UNASSIGNED_REGION
province:1786,brazil__piau,1786,Piauí,,,251992.468,,,,,,,,UNASSIGNED_REGION
province:1240,venezuela__bol_var,1240,Bolívar,,,251269.534,,,,,,,,UNASSIGNED_REGION
province:1140,united_states_of_america__michigan,1140,Michigan,,,249845.265,,,,,,,,UNASSIGNED_REGION
province:2393,united_states_of_america__oregon,2393,Oregon,,,249487.229,,,,,,,,UNASSIGNED_REGION
province:1453,chad__borkou,1453,Borkou,,,248777.86,,,,,,,,UNASSIGNED_REGION
