# world province index v1 | source=assets/provinces.json | old layer 8
# passports=4027 matched=4027 missing=0 countries=215
# country_slug|numeric_id|province_id|legacy_id|name|lon|lat|match
afghanistan|589|province:589|afghanistan__badakhshan|Badakhshan|72.44561|36.97289|id
afghanistan|810|province:810|afghanistan__takhar|Takhar|69.81064|36.70965|id
afghanistan|811|province:811|afghanistan__kunduz|Kunduz|68.68103|36.81931|id
afghanistan|812|province:812|afghanistan__balkh|Balkh|67.21985|36.53065|id
afghanistan|814|province:814|afghanistan__jawzjan|Jawzjan|65.83623|36.74857|id
afghanistan|815|province:815|afghanistan__faryab|Faryab|64.85317|36.22123|id
afghanistan|817|province:817|afghanistan__badghis|Badghis|63.84836|35.27307|id
afghanistan|818|province:818|afghanistan__hirat|Hirat|62.48408|34.21743|id
afghanistan|1396|province:1396|afghanistan__nimroz|Nimroz|62.20701|30.84074|id
afghanistan|1398|province:1398|afghanistan__farah|Farah|62.65151|32.45916|id
afghanistan|1400|province:1400|afghanistan__kunar|Kunar|71.10352|34.99904|id
afghanistan|1401|province:1401|afghanistan__nuristan|Nuristan|70.75745|35.46747|id
afghanistan|1402|province:1402|afghanistan__nangarhar|Nangarhar|70.30349|34.37137|id
afghanistan|1403|province:1403|afghanistan__khost|Khost|69.82119|33.37751|id
afghanistan|1404|province:1404|afghanistan__paktya|Paktya|69.38262|33.61736|id
afghanistan|1406|province:1406|afghanistan__paktika|Paktika|68.65137|32.51551|id
afghanistan|1407|province:1407|afghanistan__zabul|Zabul|67.13635|32.30589|id
afghanistan|1408|province:1408|afghanistan__kandahar|Kandahar|66.13484|31.06856|id
afghanistan|1409|province:1409|afghanistan__hilmand|Hilmand|63.98218|31.39585|id
afghanistan|3653|province:3653|afghanistan__uruzgan|Uruzgan|66.09463|32.80020|id
afghanistan|3654|province:3654|afghanistan__ghazni|Ghazni|67.81487|33.14785|id
afghanistan|3655|province:3655|afghanistan__parwan|Parwan|69.75945|35.48644|id
afghanistan|3656|province:3656|afghanistan__kabul|Kabul|69.38503|34.52014|id
afghanistan|3657|province:3657|afghanistan__laghman|Laghman|70.20703|34.82246|id
afghanistan|3658|province:3658|afghanistan__logar|Logar|69.30483|33.98418|id
afghanistan|3659|province:3659|afghanistan__kapisa|Kapisa|69.59729|34.91152|id
afghanistan|3660|province:3660|afghanistan__wardak|Wardak|68.10886|34.24323|id
afghanistan|3661|province:3661|afghanistan__bamyan|Bamyan|67.30796|34.70712|id
afghanistan|3662|province:3662|afghanistan__parwan_2|Parwan|68.89944|35.00678|id
afghanistan|3663|province:3663|afghanistan__sari_pul|Sari Pul|66.21746|35.69103|id
afghanistan|3664|province:3664|afghanistan__ghor|Ghor|64.92173|34.20290|id
afghanistan|3665|province:3665|afghanistan__baghlan|Baghlan|68.98645|35.79429|id
afghanistan|3666|province:3666|afghanistan__samangan|Samangan|67.68083|36.00094|id
afghanistan|3667|province:3667|afghanistan__uruzgan_2|Uruzgan|66.30095|33.73658|id
albania|227|province:227|albania__dib_r|Dibër|20.17749|41.61117|id
albania|229|province:229|albania__kuk_s|Kukës|20.19441|42.19027|id
albania|230|province:230|albania__kor|Korçë|20.66484|40.58409|id
albania|231|province:231|albania__elbasan|Elbasan|20.13354|41.05318|id
albania|325|province:325|albania__gjirokast_r|Gjirokastër|20.18584|40.15671|id
albania|326|province:326|albania__vlor|Vlorë|19.79385|40.14999|id
albania|736|province:736|albania__shkod_r|Shkodër|19.75891|42.24674|id
albania|2783|province:2783|albania__fier|Fier|19.60466|40.74642|id
albania|2784|province:2784|albania__tiran|Tiranë|19.81450|41.30026|id
albania|2785|province:2785|albania__lezh|Lezhë|19.86350|41.79294|id
albania|3652|province:3652|albania__berat|Berat|20.08718|40.61829|id
algeria|560|province:560|algeria__adrar|Adrar|-0.93560|25.48414|id
algeria|1456|province:1456|algeria__tamanghasset|Tamanghasset|6.39712|24.19126|id
algeria|1458|province:1458|algeria__tindouf|Tindouf|-5.82825|27.56302|id
algeria|1466|province:1466|algeria__b_char|Béchar|-2.80085|30.28886|id
algeria|1471|province:1471|algeria__el_tarf|El Tarf|8.14570|36.68463|id
algeria|1473|province:1473|algeria__el_oued|El Oued|7.03564|33.25890|id
algeria|1475|province:1475|algeria__t_bessa|Tébessa|7.78359|35.06453|id
algeria|1479|province:1479|algeria__souk_ahras|Souk Ahras|7.83962|36.16342|id
algeria|1480|province:1480|algeria__ouargla|Ouargla|6.25298|30.98420|id
algeria|1554|province:1554|algeria__illizi|Illizi|8.76292|27.05189|id
algeria|1712|province:1712|algeria__na_ma|Naâma|-0.83035|33.21608|id
algeria|1713|province:1713|algeria__tlemcen|Tlemcen|-1.49062|34.70820|id
algeria|2115|province:2115|algeria__skikda|Skikda|7.02312|36.76424|id
algeria|2116|province:2116|algeria__jijel|Jijel|5.95085|36.72990|id
algeria|2117|province:2117|algeria__b_ja_a|Béjaïa|4.91594|36.56136|id
algeria|2118|province:2118|algeria__tizi_ouzou|Tizi Ouzou|3.90894|36.68992|id
algeria|2119|province:2119|algeria__tipaza|Tipaza|2.34141|36.59207|id
algeria|2120|province:2120|algeria__chlef|Chlef|1.21069|36.19553|id
algeria|2121|province:2121|algeria__mostaganem|Mostaganem|0.31311|36.01054|id
algeria|2122|province:2122|algeria__oran|Oran|-0.61018|35.60140|id
algeria|2123|province:2123|algeria__a_n_t_mouchent|Aïn Témouchent|-0.99404|35.35590|id
algeria|3628|province:3628|algeria__s_tif|Sétif|5.38418|36.11445|id
algeria|3629|province:3629|algeria__bordj_bou_arr_ridj|Bordj Bou Arréridj|4.66897|36.09900|id
algeria|3630|province:3630|algeria__bouira|Bouira|3.84390|36.27776|id
algeria|3631|province:3631|algeria__blida|Blida|2.99180|36.58448|id
algeria|3632|province:3632|algeria__tissemsilt|Tissemsilt|1.77869|35.77397|id
algeria|3633|province:3633|algeria__a_n_defla|Aïn Defla|2.10652|36.15544|id
algeria|3634|province:3634|algeria__relizane|Relizane|0.81848|35.81763|id
algeria|3635|province:3635|algeria__el_bayadh|El Bayadh|0.97185|32.59144|id
algeria|3636|province:3636|algeria__sa_da|Saïda|0.17864|34.54186|id
algeria|3637|province:3637|algeria__sidi_bel_abb_s|Sidi Bel Abbès|-0.58865|34.82463|id
algeria|3638|province:3638|algeria__mascara|Mascara|0.16765|35.40553|id
algeria|3639|province:3639|algeria__gharda_a|Ghardaïa|3.46069|31.05388|id
algeria|3640|province:3640|algeria__laghouat|Laghouat|2.75625|33.70021|id
algeria|3641|province:3641|algeria__m_d_a|Médéa|2.89863|35.96645|id
algeria|3642|province:3642|algeria__tiaret|Tiaret|1.55632|34.88161|id
algeria|3643|province:3643|algeria__m_sila|M'Sila|4.37959|35.13734|id
algeria|3644|province:3644|algeria__batna|Batna|5.78210|35.34479|id
algeria|3645|province:3645|algeria__khenchela|Khenchela|7.02861|34.92593|id
algeria|3646|province:3646|algeria__guelma|Guelma|7.46301|36.38503|id
algeria|3647|province:3647|algeria__constantine|Constantine|6.68167|36.35778|id
algeria|3648|province:3648|algeria__mila|Mila|6.13147|36.25933|id
algeria|3649|province:3649|algeria__oum_el_bouaghi|Oum el Bouaghi|7.00752|35.82102|id
